row_key,site,product_slug,name,price,brand,category,url,scraped_at,scraped_date,scraped_hour,day_of_week
iris#iris_laptop_apple_macbook_air_m4_13_pouces_1a21be_2026-05-04_00-18-39_#2026-05-04T00-18-39Z,iris,iris_laptop_apple_macbook_air_m4_13_pouces_1a21be_2026-05-04_00-18-39_,Apple MacBook Air M4 13 pouces (MC6T4),15199,APPLE,laptop,https://www.iris.ma/26838-apple-macbook-air-m4-13-pouces-2025-bleu-ciel-16go-256-go-mc6t4fn-a.html,2026-05-04 00:18:39.000000 UTC,2026-05-04,0,2
iris#iris_laptop_apple_macbook_air_m4_13_pouces_1a21be_2026-05-04_00-18-42_#2026-05-04T00-18-42Z,iris,iris_laptop_apple_macbook_air_m4_13_pouces_1a21be_2026-05-04_00-18-42_,Apple MacBook Air M4 13 pouces (MC6T4),15199,APPLE,laptop,https://www.iris.ma/26838-apple-macbook-air-m4-13-pouces-2025-bleu-ciel-16go-256-go-mc6t4fn-a.html,2026-05-04 00:18:42.000000 UTC,2026-05-04,0,2
iris#iris_laptop_epson_co_w01_vid_oprojecteur_w_0169a4_2026-05-04_00-18-39_#2026-05-04T00-18-39Z,iris,iris_laptop_epson_co_w01_vid_oprojecteur_w_0169a4_2026-05-04_00-18-39_,EPSON CO-W01 Vidéoprojecteur WXGA (V11HA86040),4269,EPSON,laptop,https://www.iris.ma/14599-epson-co-w01-videoprojecteur-wxga-v11ha86040.html,2026-05-04 00:18:39.000000 UTC,2026-05-04,0,2
iris#iris_laptop_epson_co_w01_vid_oprojecteur_w_0169a4_2026-05-04_00-18-42_#2026-05-04T00-18-42Z,iris,iris_laptop_epson_co_w01_vid_oprojecteur_w_0169a4_2026-05-04_00-18-42_,EPSON CO-W01 Vidéoprojecteur WXGA (V11HA86040),4269,EPSON,laptop,https://www.iris.ma/14599-epson-co-w01-videoprojecteur-wxga-v11ha86040.html,2026-05-04 00:18:42.000000 UTC,2026-05-04,0,2
iris#iris_laptop_epson_eh_tw850___projecteur_fu_6d4c42_2026-05-04_00-18-42_#2026-05-04T00-18-42Z,iris,iris_laptop_epson_eh_tw850___projecteur_fu_6d4c42_2026-05-04_00-18-42_,Epson EH-TW850 – Projecteur Full HD haute performance...,7279,EPSON,laptop,https://www.iris.ma/40889-epson-eh-tw850-projecteur-full-hd-haute-performance-v11hb61042.html,2026-05-04 00:18:42.000000 UTC,2026-05-04,0,2
iris#iris_laptop_epson_eh_tw850___projecteur_fu_6d4c42_2026-05-04_00-18-39_#2026-05-04T00-18-39Z,iris,iris_laptop_epson_eh_tw850___projecteur_fu_6d4c42_2026-05-04_00-18-39_,Epson EH-TW850 – Projecteur Full HD haute performance...,7279,EPSON,laptop,https://www.iris.ma/40889-epson-eh-tw850-projecteur-full-hd-haute-performance-v11hb61042.html,2026-05-04 00:18:39.000000 UTC,2026-05-04,0,2
iris#iris_imprimante_epson_ecotank_l3250_imprimante_4d46ac_2026-05-04_00-18-39_#2026-05-04T00-18-39Z,iris,iris_imprimante_epson_ecotank_l3250_imprimante_4d46ac_2026-05-04_00-18-39_,Epson EcoTank L3250 Imprimante multifonction à réservoirs...,1769,EPSON,imprimante,https://www.iris.ma/13770-epson-ecotank-l3250-imprimante-multifonction-a-reservoirs-rechargeables-c11cj67408.html,2026-05-04 00:18:39.000000 UTC,2026-05-04,0,2
iris#iris_imprimante_epson_ecotank_l3250_imprimante_4d46ac_2026-05-04_00-18-41_#2026-05-04T00-18-41Z,iris,iris_imprimante_epson_ecotank_l3250_imprimante_4d46ac_2026-05-04_00-18-41_,Epson EcoTank L3250 Imprimante multifonction à réservoirs...,1769,EPSON,imprimante,https://www.iris.ma/13770-epson-ecotank-l3250-imprimante-multifonction-a-reservoirs-rechargeables-c11cj67408.html,2026-05-04 00:18:41.000000 UTC,2026-05-04,0,2
iris#iris_imprimante_epson_ecotank_l6490_imprimante_114ae4_2026-05-04_00-18-41_#2026-05-04T00-18-41Z,iris,iris_imprimante_epson_ecotank_l6490_imprimante_114ae4_2026-05-04_00-18-41_,Epson EcoTank L6490 Imprimante multifonction à réservoirs...,4690,EPSON,imprimante,https://www.iris.ma/13989-epson-ecotank-l6490-imprimante-multifonction-a-reservoirs-rechargeables-c11cj88404.html,2026-05-04 00:18:41.000000 UTC,2026-05-04,0,2
iris#iris_imprimante_epson_ecotank_l6490_imprimante_114ae4_2026-05-04_00-18-39_#2026-05-04T00-18-39Z,iris,iris_imprimante_epson_ecotank_l6490_imprimante_114ae4_2026-05-04_00-18-39_,Epson EcoTank L6490 Imprimante multifonction à réservoirs...,4690,EPSON,imprimante,https://www.iris.ma/13989-epson-ecotank-l6490-imprimante-multifonction-a-reservoirs-rechargeables-c11cj88404.html,2026-05-04 00:18:39.000000 UTC,2026-05-04,0,2
